feature,importance
balance_diff,0.22884938809119532
rule_based_alert,0.16206782367206757
oldbalanceOrg,0.14988455215803428
rule_score,0.14750534157460643
avg_sent,0.06423379613325576
amount,0.0553462602608533
is_high_risk_type,0.053551738475608686
newbalanceOrig,0.05129851451570073
total_sent,0.043406064162835226
newbalanceDest,0.026303625462855557
oldbalanceDest,0.017309206870133053
amount_deviation,0.00015240502889195273
txn_count_sender,9.064915359566069e-05
txn_per_step,6.344403664097598e-07
